"Börsdata ID";"Bolagsnamn";"Info - Ticker";"Info - Rapport";"F-Score - Poäng";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år";"Börsvärde - Senaste";"Info - Sektor";"Info - Bransch"
"131";"Lundin Mining";"LUMI";"Q4-2025";"7";"48,8%";"146,8%";"212,7%";"230931";"Material";"Gruv - Prospekt & Drift"
"40";"Boliden";"BOL";"Q4-2025";"4";"42,0%";"101,9%";"76,7%";"188839";"Material";"Gruv - Industrimetaller"
"249";"Nokia";"NOKIA SEK";"Q4-2025";"7";"27,8%";"72,8%";"44,0%";"427452";"Informationsteknik";"Kommunikation"
"748";"Cantargia";"CANTA";"Q4-2025";"4";"-4,0%";"69,0%";"147,2%";"1057";"Hälsovård";"Biotech"
"132";"Orrön Energy";"ORRON";"Q4-2025";"3";"13,2%";"61,7%";"16,4%";"2004";"Kraftförsörjning";"Förnybarenergi"
"1698";"Ovzon";"OVZON";"Q4-2025";"6";"82,0%";"60,3%";"199,0%";"6580";"Telekommunikation";"Telekomtjänster"
"52";"Cloetta";"CLA B";"Q4-2025";"8";"34,1%";"59,9%";"89,5%";"15153";"Dagligvaror";"Livsmedel"
"195";"Sandvik";"SAND";"Q4-2025";"9";"29,4%";"57,4%";"62,1%";"473154";"Industri";"Industrimaskiner"
"213";"Studsvik";"SVIK";"Q4-2025";"8";"-3,8%";"50,8%";"119,3%";"2293";"Industri";"Energi & Återvinning"
"920";"Attendo";"ATT";"Q4-2025";"9";"26,7%";"50,1%";"63,8%";"15482";"Hälsovård";"Sjukhus & Vårdhem"
"2198";"Acast";"ACAST";"Q4-2025";"5";"-19,8%";"46,5%";"57,6%";"4717";"Informationsteknik";"Internettjänster"
"1425";"FM Mattsson";"FMM B";"Q4-2025";"9";"36,7%";"44,9%";"65,7%";"3469";"Industri";"Installation & VVS"
"436";"Berner Industrier";"BERNER B";"Q4-2025";"7";"16,9%";"44,8%";"157,4%";"1983";"Industri";"Industrikomponenter"
"403";"Hanza";"HANZA";"Q4-2025";"6";"31,7%";"44,6%";"101,4%";"10250";"Industri";"Affärskonsulter"
"1632";"SSAB B";"SSAB B";"Q4-2025";"4";"11,1%";"43,2%";"16,4%";"74946";"Material";"Gruv - Industrimetaller"
"754";"Inission";"INISS B";"Q4-2025";"5";"29,8%";"42,8%";"54,9%";"1345";"Informationsteknik";"Elektronisk Utrustning"
"175";"Peab";"PEAB B";"Q4-2025";"6";"29,8%";"42,5%";"28,4%";"30730";"Industri";"Byggnation & Infrastruktur"
"141";"Midsona B";"MSON B";"Q4-2025";"6";"31,6%";"42,4%";"29,2%";"1665";"Dagligvaror";"Hälsoprodukter"
"219";"Swedish Orphan Biovitrum";"SOBI";"Q4-2025";"6";"12,9%";"41,3%";"22,7%";"138390";"Hälsovård";"Läkemedel"
"1354";"Maha Capital";"MAHA A";"Q4-2025";"2";"30,2%";"41,1%";"101,1%";"1892";"Energi";"Olja & Gas - Exploatering"
"1437";"Instalco";"INSTAL";"Q4-2025";"6";"38,9%";"40,2%";"-1,0%";"8982";"Industri";"Installation & VVS"
"1439";"Munters";"MTRS";"Q4-2025";"6";"-3,8%";"40,0%";"27,1%";"31395";"Industri";"Installation & VVS"
"2193";"Revolutionrace";"RVRC";"Q2-2026";"7";"2,5%";"38,8%";"49,5%";"7003";"Sällanköpsvaror";"Kläder & Skor"
"77";"Ericsson B";"ERIC B";"Q4-2025";"8";"15,6%";"38,6%";"18,7%";"352812";"Informationsteknik";"Kommunikation"
"380";"Scandi Standard";"SCST";"Q4-2025";"8";"32,4%";"33,5%";"51,4%";"8482";"Dagligvaror";"Livsmedel"
"357";"Wise Group";"WISE";"Q4-2025";"2";"50,0%";"29,9%";"1,6%";"143";"Industri";"Bemanning"
"170";"Orexo";"ORX";"Q4-2025";"3";"4,9%";"28,9%";"52,5%";"962";"Hälsovård";"Läkemedel"
"223";"Telia Company";"TELIA";"Q4-2025";"6";"19,6%";"28,6%";"31,2%";"180523";"Telekommunikation";"Bredband & Telefoni"
"193";"Saab";"SAAB B";"Q4-2025";"7";"35,7%";"28,3%";"103,1%";"352710";"Industri";"Militär & Försvar"
"405";"Hexatronic";"HTRO";"Q4-2025";"5";"42,6%";"28,2%";"-7,3%";"6012";"Industri";"Elektroniska komponenter"
"74";"Eniro";"ENRO";"Q4-2025";"6";"30,3%";"28,0%";"-11,7%";"382";"Sällanköpsvaror";"Marknadsföring"
"741";"Coor Service Management";"COOR";"Q4-2025";"8";"24,3%";"27,7%";"77,2%";"5739";"Industri";"Stödtjänster & Service"
"595";"Lundin Gold";"LUG";"Q4-2025";"8";"7,6%";"27,5%";"165,9%";"194112";"Material";"Gruv - Guld & Silver"
"70";"Electrolux B";"ELUX B";"Q4-2025";"7";"11,2%";"27,3%";"-24,8%";"19538";"Sällanköpsvaror";"Hemelektronik"
"1443";"International Petroleum";"IPCO";"Q4-2025";"4";"13,2%";"27,0%";"40,1%";"24280";"Energi";"Olja & Gas - Exploatering"
"1691";"Infrea";"INFREA";"Q4-2025";"8";"17,9%";"26,0%";"32,0%";"496";"Industri";"Byggnation & Infrastruktur"
"71";"Elekta";"EKTA B";"Q2-2026";"5";"1,5%";"25,8%";"-4,0%";"21748";"Hälsovård";"Medicinsk Utrustning"
"97";"Hennes & Mauritz";"HM B";"Q4-2025";"8";"2,5%";"25,6%";"26,4%";"292419";"Sällanköpsvaror";"Kläder & Skor"
"233";"VBG Group";"VBG B";"Q4-2025";"5";"-6,6%";"25,6%";"17,5%";"9556";"Industri";"Industrikomponenter"
"2289";"Volvo Car";"VOLCAR B";"Q4-2025";"5";"-30,4%";"24,8%";"1,9%";"68916";"Sällanköpsvaror";"Bil & Motor"
"1712";"Epiroc B";"EPI B";"Q4-2025";"7";"19,7%";"24,5%";"19,7%";"266780";"Industri";"Industrimaskiner"
"3";"ABB";"ABB";"Q4-2025";"7";"17,3%";"23,5%";"39,4%";"1476226";"Industri";"Industrimaskiner"
"236";"Volvo B";"VOLV B";"Q4-2025";"6";"17,7%";"22,5%";"2,0%";"690357";"Industri";"Industrimaskiner"
"1477";"Alligo";"ALLIGO B";"Q4-2025";"6";"6,5%";"22,5%";"-8,6%";"6485";"Industri";"Industrikomponenter"
"258";"Meren Energy";"MER";"Q3-2025";"3";"18,1%";"21,8%";"1,6%";"9801";"Energi";"Olja & Gas - Exploatering"
"375";"Bufab";"BUFAB";"Q4-2025";"7";"10,5%";"21,3%";"22,1%";"21048";"Industri";"Industrikomponenter"
"10";"Alfa Laval";"ALFA";"Q4-2025";"6";"11,0%";"21,3%";"11,6%";"214351";"Industri";"Industrikomponenter"
"19";"Atlas Copco A";"ATCO A";"Q4-2025";"5";"9,2%";"20,6%";"0,7%";"904995";"Industri";"Industrimaskiner"
"179";"Prevas";"PREV B";"Q4-2025";"6";"-2,4%";"20,5%";"-23,2%";"1082";"Informationsteknik";"IT-Konsulter"
"18";"AstraZeneca";"AZN";"Q4-2025";"7";"9,8%";"19,8%";"14,7%";"2886350";"Hälsovård";"Läkemedel"
"312";"Gruvaktiebolaget Viscaria";"VISC";"Q4-2025";"2";"48,5%";"19,4%";"-7,3%";"4254";"Material";"Gruv - Prospekt & Drift"
"478";"Saniona";"SANION";"Q4-2025";"4";"-19,0%";"18,9%";"131,3%";"2206";"Hälsovård";"Biotech"
"214";"Svedbergs Group";"SVED B";"Q4-2025";"7";"4,3%";"18,3%";"37,1%";"3606";"Sällanköpsvaror";"Möbler & Inredning"
"1694";"Better Collective";"BETCO";"Q4-2025";"5";"21,5%";"16,7%";"26,7%";"8202";"Sällanköpsvaror";"Betting & Casino"
"207";"Skanska";"SKA B";"Q4-2025";"7";"9,3%";"16,0%";"5,6%";"112996";"Industri";"Byggnation & Infrastruktur"
"1576";"Enad Global 7";"EG7";"Q4-2025";"5";"11,2%";"15,5%";"19,2%";"1320";"Sällanköpsvaror";"Gaming & Spel"
"426";"Gränges";"GRNG";"Q4-2025";"8";"11,1%";"15,3%";"14,5%";"16639";"Industri";"Industrikomponenter"
"222";"Tele2 B";"TEL2 B";"Q4-2025";"8";"30,5%";"14,6%";"50,2%";"133431";"Telekommunikation";"Bredband & Telefoni"
"909";"Bravida";"BRAV";"Q4-2025";"7";"23,3%";"14,4%";"11,0%";"21189";"Industri";"Installation & VVS"
"224";"TietoEVRY";"TIETOS";"Q4-2025";"6";"-2,6%";"14,1%";"-3,9%";"23479";"Informationsteknik";"IT-Konsulter"
"2512";"Rusta";"RUSTA";"Q2-2026";"7";"10,1%";"14,0%";"-0,1%";"12252";"Sällanköpsvaror";"Detaljhandel"
"151";"NCC B";"NCC B";"Q4-2025";"5";"-2,6%";"13,5%";"10,1%";"21409";"Industri";"Byggnation & Infrastruktur"
"2290";"Synsam";"SYNSAM";"Q4-2025";"7";"-2,3%";"12,8%";"45,1%";"9611";"Sällanköpsvaror";"Accessoarer"
"17";"Assa Abloy";"ASSA B";"Q4-2025";"7";"5,0%";"12,4%";"14,6%";"419886";"Industri";"Byggmaterial"
"181";"Proact IT";"PACT";"Q4-2025";"5";"-5,7%";"12,0%";"-14,6%";"2781";"Informationsteknik";"IT-Konsulter"
"2413";"Alleima";"ALLEI";"Q4-2025";"7";"-5,2%";"11,9%";"-17,1%";"19631";"Industri";"Industrikomponenter"
"2279";"Nordisk Bergteknik";"NORB B";"Q4-2025";"8";"-9,8%";"11,2%";"-4,8%";"713";"Material";"Gruv - Service"
"1695";"NCAB Group";"NCAB";"Q4-2025";"5";"-2,5%";"10,6%";"9,4%";"9900";"Informationsteknik";"Elektronik & Tillverkning"
"372";"Xvivo Perfusion";"XVIVO";"Q4-2025";"6";"1,2%";"10,4%";"-59,2%";"5701";"Hälsovård";"Medicinsk Utrustning"
"51";"Clas Ohlson";"CLAS B";"Q2-2026";"8";"-4,5%";"10,1%";"49,1%";"23695";"Sällanköpsvaror";"Detaljhandel"
"1010";"Humana";"HUM";"Q4-2025";"8";"-5,1%";"9,9%";"-4,8%";"2322";"Hälsovård";"Sjukhus & Vårdhem"
"209";"SkiStar";"SKIS B";"Q1-2026";"7";"-0,5%";"9,7%";"2,1%";"13528";"Sällanköpsvaror";"Resor & Nöjen"
"66";"Duroc";"DURC B";"Q2-2026";"3";"20,0%";"9,6%";"14,4%";"714";"Industri";"Industrikomponenter"
"212";"Stora Enso R";"STE R";"Q4-2025";"7";"2,1%";"9,4%";"0,3%";"91638";"Material";"Skogsbolag"
"33";"Bilia";"BILI A";"Q4-2025";"8";"-1,3%";"8,9%";"-9,1%";"11970";"Sällanköpsvaror";"Bil & Motor"
"45";"Byggmax";"BMAX";"Q4-2025";"9";"19,8%";"8,6%";"23,6%";"3611";"Sällanköpsvaror";"Detaljhandel"
"201";"Securitas";"SECU B";"Q4-2025";"8";"8,3%";"7,9%";"0,6%";"89965";"Industri";"Säkerhet"
"557";"Railcare";"RAIL";"Q4-2025";"7";"-1,0%";"7,6%";"5,8%";"686";"Industri";"Stödtjänster & Service"
"1438";"Sdiptech";"SDIP B";"Q4-2025";"5";"0,6%";"6,6%";"-8,8%";"7595";"Industri";"Installation & VVS"
"24";"Axfood";"AXFO";"Q4-2025";"9";"21,5%";"6,4%";"42,9%";"70691";"Dagligvaror";"Livsmedelsbutiker"
"162";"NOTE";"NOTE";"Q4-2025";"7";"6,9%";"5,8%";"25,6%";"5547";"Informationsteknik";"Elektronik & Tillverkning"
"1470";"Essity B";"ESSITY B";"Q4-2025";"8";"4,0%";"5,7%";"-8,7%";"187679";"Dagligvaror";"Hygienprodukter"
"2539";"Cinclus Pharma";"CINPHA";"Q4-2025";"2";"-2,2%";"5,7%";"11,9%";"773";"Hälsovård";"Läkemedel"
"35";"BioGaia";"BIOG B";"Q4-2025";"5";"10,2%";"5,4%";"-12,6%";"11006";"Dagligvaror";"Hälsoprodukter"
"1861";"Traton";"8TRA";"Q3-2025";"3";"9,5%";"5,2%";"-14,3%";"173800";"Industri";"Industrimaskiner"
"129";"Loomis";"LOOMIS";"Q4-2025";"7";"15,1%";"5,2%";"5,9%";"30099";"Industri";"Säkerhet"
"246";"Moberg Pharma";"MOB";"Q4-2025";"3";"9,8%";"5,2%";"10,1%";"487";"Hälsovård";"Läkemedel"
"65";"Duni";"DUNI";"Q4-2025";"7";"-3,2%";"5,0%";"-9,3%";"4477";"Dagligvaror";"Hygienprodukter"
"301";"Hansa Biopharma";"HNSA";"Q4-2025";"1";"-3,4%";"4,2%";"22,5%";"3265";"Hälsovård";"Biotech"
"2253";"CTEK";"CTEK";"Q4-2025";"6";"9,1%";"4,1%";"-6,1%";"985";"Industri";"Elektroniska komponenter"
"229";"Trelleborg";"TREL B";"Q4-2025";"7";"-5,6%";"3,9%";"-9,2%";"87696";"Material";"Kemikalier"
"984";"Catena Media";"CTM";"Q4-2025";"6";"36,8%";"3,4%";"-34,7%";"178";"Sällanköpsvaror";"Betting & Casino"
"38";"Björn Borg";"BORG";"Q4-2025";"7";"5,5%";"3,3%";"17,8%";"1647";"Sällanköpsvaror";"Kläder & Skor"
"240";"XANO Industri";"XANO B";"Q4-2025";"8";"-4,8%";"2,9%";"-2,0%";"3578";"Industri";"Industrikomponenter"
"1831";"Gentoo Media";"G2M";"Q4-2025";"5";"1,6%";"2,9%";"-66,2%";"957";"Sällanköpsvaror";"Betting & Casino"
"1419";"Ambea";"AMBEA";"Q4-2025";"5";"-1,7%";"2,5%";"16,3%";"10866";"Hälsovård";"Sjukhus & Vårdhem"
"208";"SKF B";"SKF B";"Q4-2025";"6";"-2,2%";"2,4%";"5,3%";"111197";"Industri";"Industrikomponenter"
"1463";"Boozt";"BOOZT";"Q4-2025";"6";"-20,6%";"2,4%";"-25,7%";"5898";"Sällanköpsvaror";"Kläder & Skor"
"168";"OEM International";"OEM B";"Q4-2025";"6";"-19,0%";"1,7%";"-4,0%";"17822";"Industri";"Industrikomponenter"
"505";"AQ Group";"AQ";"Q4-2025";"6";"-1,2%";"1,3%";"11,7%";"17062";"Industri";"Industrikomponenter"
"1317";"SynAct Pharma";"SYNACT";"Q4-2025";"1";"-11,5%";"0,9%";"-3,2%";"1017";"Hälsovård";"Biotech"
"29";"Beijer Alma";"BEIA B";"Q4-2025";"6";"-16,3%";"0,6%";"22,0%";"14583";"Industri";"Industrikomponenter"
"140";"Mycronic";"MYCR";"Q4-2025";"5";"-7,6%";"0,4%";"-9,8%";"40102";"Informationsteknik";"Elektronik & Tillverkning"
"1546";"Ferronordic";"FNM";"Q4-2025";"5";"5,3%";"0,2%";"-24,4%";"670";"Industri";"Industrikomponenter"
"8";"Addtech";"ADDT B";"Q3-2026";"9";"-3,9%";"0,2%";"-1,1%";"87294";"Industri";"Industrikomponenter"
"251";"Micro Systemation";"MSAB B";"Q4-2025";"7";"-0,3%";"0,0%";"16,3%";"1231";"Informationsteknik";"Elektronisk Utrustning"
"1323";"AcadeMedia";"ACAD";"Q2-2026";"8";"-0,8%";"-0,3%";"26,3%";"9831";"Industri";"Utbildning"
"147";"mySafety";"SAFETY B";"Q4-2025";"5";"4,7%";"-0,5%";"70,6%";"418";"Informationsteknik";"Affärs- & IT-System"
"596";"Eltel";"ELTEL";"Q4-2025";"5";"-1,6%";"-0,9%";"36,3%";"1423";"Industri";"Installation & VVS"
"27";"BE Group";"BEGR";"Q4-2025";"4";"-6,5%";"-1,0%";"-45,8%";"492";"Industri";"Industrikomponenter"
"221";"Systemair";"SYSR";"Q2-2026";"8";"-6,5%";"-1,3%";"-0,6%";"16861";"Industri";"Installation & VVS"
"116";"JM";"JM";"Q4-2025";"5";"-3,1%";"-1,4%";"-15,0%";"8295";"Industri";"Bostadsbyggnation"
"122";"KnowIT";"KNOW";"Q4-2025";"5";"-4,3%";"-1,6%";"-29,1%";"2960";"Informationsteknik";"IT-Konsulter"
"156";"NIBE Industrier";"NIBE B";"Q4-2025";"9";"3,4%";"-1,7%";"-8,7%";"74050";"Industri";"Installation & VVS"
"124";"Lagercrantz";"LAGR B";"Q3-2026";"7";"-3,2%";"-1,9%";"-6,3%";"44312";"Industri";"Elektroniska komponenter"
"110";"Indutrade";"INDT";"Q4-2025";"7";"-6,3%";"-2,2%";"-26,7%";"81681";"Industri";"Industrikomponenter"
"758";"Nilörngruppen";"NIL B";"Q4-2025";"6";"-16,5%";"-2,4%";"-22,5%";"601";"Material";"Förpackning"
"1426";"Actic Group";"ATIC";"Q4-2025";"6";"-4,1%";"-2,5%";"132,6%";"633";"Sällanköpsvaror";"Resor & Nöjen"
"1677";"BHG Group";"BHG";"Q4-2025";"6";"-22,0%";"-2,5%";"0,3%";"4406";"Sällanköpsvaror";"Detaljhandel"
"102";"Holmen B";"HOLM B";"Q4-2025";"4";"-0,1%";"-2,8%";"-17,5%";"56782";"Material";"Skogsbolag"
"98";"Hexagon";"HEXA B";"Q4-2025";"6";"-11,2%";"-3,0%";"-18,8%";"269087";"Industri";"Mätning & Analys"
"2525";"Karnell Group";"KARNEL B";"Q4-2025";"8";"-14,0%";"-3,0%";"17,7%";"3250";"Industri";"Industrikomponenter"
"41";"Bong Ljungdahl";"BONG";"Q4-2025";"5";"-4,8%";"-3,1%";"-15,1%";"133";"Material";"Förpackning"
"1794";"Viaplay B";"VPLAY B";"Q4-2025";"1";"41,3%";"-3,3%";"49,4%";"5804";"Sällanköpsvaror";"Media & Publicering"
"922";"Scandic Hotels";"SHOT";"Q4-2025";"6";"-1,5%";"-3,6%";"-0,3%";"18232";"Sällanköpsvaror";"Hotell & Camping"
"134";"Malmbergs Elektriska";"MEAB B";"Q4-2025";"4";"8,9%";"-3,9%";"-22,3%";"274";"Industri";"Elektroniska komponenter"
"306";"Invisio";"IVSO";"Q4-2025";"5";"13,8%";"-4,1%";"-19,5%";"13900";"Informationsteknik";"Kommunikation"
"332";"Egetis Therapeutics";"EGTX";"Q4-2025";"2";"1,5%";"-4,2%";"-3,8%";"2049";"Hälsovård";"Biotech"
"293";"Episurf Medical";"EPIS B";"Q4-2025";"1";"61,7%";"-5,0%";"-58,5%";"128";"Hälsovård";"Medicinsk Utrustning"
"88";"Getinge";"GETI B";"Q4-2025";"8";"-6,0%";"-5,2%";"-7,0%";"53970";"Hälsovård";"Hälsovård & Hjälpmedel"
"1538";"BioArctic";"BIOA B";"Q4-2025";"6";"-6,6%";"-5,2%";"22,0%";"26474";"Hälsovård";"Biotech"
"1930";"Electrolux Professional B";"EPRO B";"Q4-2025";"7";"-11,9%";"-5,3%";"-23,6%";"16525";"Sällanköpsvaror";"Hemelektronik"
"203";"Sensys Gatso";"SGG";"Q4-2025";"5";"-5,8%";"-5,3%";"-26,3%";"424";"Informationsteknik";"Säkerhet & Bevakning"
"255";"Moment Group";"MOMENT";"Q4-2025";"6";"41,2%";"-5,5%";"-17,5%";"167";"Sällanköpsvaror";"Resor & Nöjen"
"197";"SCA B";"SCA B";"Q4-2025";"6";"-4,2%";"-6,0%";"-19,7%";"83157";"Material";"Skogsbolag"
"440";"Lifco";"LIFCO B";"Q4-2025";"7";"-12,7%";"-6,6%";"-16,3%";"139808";"Industri";"Industrikomponenter"
"210";"Softronic";"SOF B";"Q4-2025";"5";"-5,0%";"-7,9%";"-9,3%";"1097";"Informationsteknik";"IT-Konsulter"
